Date,Open,High,Low,Close,Volume
15-12-2016,599,613.78,599,610.5,4870285
16-12-2016,615.05,624.33,610.4,614.15,4450719
17-12-2016,615.5,616.3,603,607.2,2869897
18-12-2016,607.03,613.28,603.1,608.35,1694467
19-12-2016,608.5,614.38,602.8,605.85,3161533
20-12-2016,605.85,621,605.13,615.9,9860170
21-12-2016,615.2,623.13,608.6,610.4,2499178
22-12-2016,610.55,621.5,606,619.7,2135078
23-12-2016,621,621,608.5,610.42,2355431
24-12-2016,612.6,620.78,610.03,618.73,2019092
25-12-2016,619,629,619,626.23,3338113
26-12-2016,624,631,623.03,630.03,3229939
27-12-2016,632.78,635,627.53,631.2,2585645
28-12-2016,632.88,635.63,625.23,629.25,3919910
29-12-2016,633.4,642,633.4,637.4,2883464
30-12-2016,626.5,626.5,617.05,619.85,3799424
31-12-2016,618.5,645.75,617.5,640.63,9978880
01-01-2017,642,645.63,631.17,633.7,4107423
02-01-2017,631.5,631.7,619.03,620.8,3772850
03-01-2017,624.25,626.17,619,621.58,2685901
04-01-2017,622.98,628.25,618,623.28,2899395
05-01-2017,621.5,627.75,620.6,623.92,2171559
06-01-2017,628.58,639.4,627,636.23,3865589
07-01-2017,634.5,641.95,633.13,638.92,2241752
08-01-2017,641.98,646.73,632.8,635,3476071
09-01-2017,638.15,649,638.13,644.8,5498409
10-01-2017,649.03,657.5,641.63,653.6,4983300
11-01-2017,657,670,657,667.35,2415072
12-01-2017,665.95,678.95,665.88,676.88,4063726
13-01-2017,676.03,676.33,669.43,672.6,2512861
14-01-2017,673.55,673.63,634.05,642,8509951
15-01-2017,645.13,650.92,634.5,642.13,5607678
16-01-2017,648.5,651.5,639.53,649.42,3322499
17-01-2017,654.25,657.73,647.15,650.7,2987244
18-01-2017,658.78,671.05,645.67,660.23,5949916
19-01-2017,663.05,663.55,642.23,647.17,6636120
20-01-2017,657.5,665.8,649.17,658.7,9748079
21-01-2017,658.7,692.2,643.85,666.43,17672340
22-01-2017,664.85,674.75,656.35,663.95,5580845
23-01-2017,669.9,671.7,657,661.28,3459508
24-01-2017,661.5,665.95,654.55,658.35,2559432
25-01-2017,663,683.58,660.65,674.05,5852869
26-01-2017,676.08,684,668.13,677.98,3837851
27-01-2017,687.2,691.2,678,688.58,3086123
28-01-2017,689.5,696.9,682.73,691.88,3468461
29-01-2017,689.28,695.2,684.6,686.63,3681109
30-01-2017,686.6,694.5,684.15,686.73,3246616
31-01-2017,685,686.5,674,675.5,3204985
01-02-2017,674.28,685,667.78,682.55,3971998
02-02-2017,681.9,684.23,675.5,677.03,2337853
03-02-2017,679.8,683.38,675.08,676.83,2970371
04-02-2017,683.1,683.1,678,682.05,1985195
05-02-2017,683.03,687.5,673.75,680.33,3089465
06-02-2017,687,689.98,680.33,683.98,3675764
07-02-2017,685.9,686.25,676.65,681.38,1996179
08-02-2017,686.83,694.73,686.83,689.98,3204762
09-02-2017,692.9,694.5,686.53,692.73,2389760
10-02-2017,695,704.93,689.35,704.38,4989873
11-02-2017,706.98,712.28,702,704.15,3075660
12-02-2017,707.48,717.45,705.63,714.78,3313387
13-02-2017,715.45,718.83,711.5,715.18,3195204
14-02-2017,694,703.98,686.75,692.13,8050938
15-02-2017,695,698,686.88,691.98,4180741
16-02-2017,696.5,700.75,692.68,698.7,3858591
17-02-2017,698.25,700.95,688.05,689.15,3526500
18-02-2017,691.5,709.98,690.7,707.7,3506475
19-02-2017,708.6,719.2,705.75,712.35,3248445
20-02-2017,716.8,716.8,702.58,705.05,2823248
21-02-2017,706.4,710.78,698.08,708.1,5753981
22-02-2017,712.55,727.15,710.55,720.55,5437932
23-02-2017,724.5,733.95,715,717.13,5488164
24-02-2017,722,748.5,716,737.15,15370124
25-02-2017,741.95,744.05,725.4,729.9,8658978
26-02-2017,732.55,735.5,724.1,727.15,5598659
27-02-2017,734.35,735.15,723.8,732.8,6510605
28-02-2017,737.75,747,729.4,730.85,5629871
01-03-2017,735.9,744.75,732,734.3,6963561
02-03-2017,744.4,746.5,736.25,742.9,4636617
03-03-2017,741.9,745,729.05,733.7,7896514
04-03-2017,735,740,724.6,725.95,5427054
05-03-2017,730,730,717,719.1,7729732
06-03-2017,727,727,713.2,719.75,4849498
07-03-2017,713.85,717.4,692,705.3,14350769
08-03-2017,706.5,729.95,706.5,718.25,8637881
09-03-2017,718.25,736,717,726.2,9602273
10-03-2017,731.2,731.85,712,717.85,6599606
11-03-2017,722,730.8,717.45,724.8,14592616
12-03-2017,721,734.55,715.2,730.05,7490031
13-03-2017,737.5,754.9,733,746.65,8252398
14-03-2017,743.8,751.95,726.3,728.5,7792464
15-03-2017,728.5,729.75,702.5,707.2,6173037
16-03-2017,713,731.5,709.3,724.6,8543578
17-03-2017,725.05,728.7,709.25,714.45,7259306
18-03-2017,717.1,722.4,702.65,717.75,6777212
19-03-2017,719.9,719.9,695.4,700.45,8866251
20-03-2017,685,692.9,663.3,673.35,10985897
21-03-2017,676.4,684.05,661.5,678.8,8909221
22-03-2017,688.6,705,681.5,698.8,6222176
23-03-2017,710,713.9,689.4,695.25,11588963
24-03-2017,710,721.8,701.35,705.35,20360697
25-03-2017,687,687.7,678,683.55,10421001
26-03-2017,688.7,695.05,673.8,679.95,6672840
27-03-2017,675.95,682,653.3,657.6,9041701
28-03-2017,663,666.5,647.15,649.8,7058164
29-03-2017,643,656.35,636.25,648.75,8270469
30-03-2017,645.3,648.7,629.9,633.6,5464141
31-03-2017,633.7,650.55,631.5,644.75,7137446
01-04-2017,641.1,663.8,637.45,659.6,8793411
02-04-2017,663.9,692.95,663.05,686.4,11947995
03-04-2017,689.7,689.7,659.6,666.7,5860244
04-04-2017,665.95,675.8,660.1,662.25,6654067
05-04-2017,663.5,668.6,657,663.7,5799426
06-04-2017,667.9,675,660.65,666.45,6975525
07-04-2017,679,679,655.5,659.5,9694143
08-04-2017,666,676.4,662.3,664.2,7118080
09-04-2017,663.5,667.75,656.3,665.7,4137808
10-04-2017,665.7,665.7,640.5,653.2,7323026
11-04-2017,654,666,646.7,656.4,5513390
12-04-2017,659.9,662.5,644.2,650.85,8583785
13-04-2017,659,662,649.25,651.7,6018930
14-04-2017,651.7,656,640.1,641.4,5384830
15-04-2017,640,640.05,612.1,619.1,14359086
16-04-2017,622.25,628.15,616.75,620.75,6632975
17-04-2017,621,628,599.85,621.45,15075209
18-04-2017,625.5,641,625.3,638.9,12285851
19-04-2017,640.95,668.7,640,666.4,17719890
20-04-2017,671,674.9,658.8,661.05,13399070
21-04-2017,661,672,660.95,667.45,10445773
22-04-2017,673.15,679,665.95,670.35,8260890
23-04-2017,672.55,688.25,671.3,685.25,7827923
24-04-2017,683,683.65,672.5,681.4,5177288
25-04-2017,676.1,685.45,664.55,668.5,8039771
26-04-2017,672,685.75,665.6,682.8,5553948
27-04-2017,669.9,683.8,665.2,669.2,5121196
28-04-2017,669.2,681.9,660.6,674.5,7120933
29-04-2017,677.1,680.65,670.6,678.5,6926183
30-04-2017,682,700,680,697.75,7521474
01-05-2017,697.45,713.7,694.4,706.05,9560576
02-05-2017,711.85,711.85,692.75,694.4,4778465
03-05-2017,686.5,686.5,674.55,676.6,8021298
04-05-2017,671.55,671.55,661.1,664.85,8295459
05-05-2017,660,671.55,656.4,667.05,11705260
06-05-2017,659.5,659.5,643.45,646.2,12802132
07-05-2017,657,658.8,647.6,649,8379825
08-05-2017,647,647,637.35,644.05,6178552
09-05-2017,652.75,663.25,649,656.8,15333902
10-05-2017,663.35,663.5,653.3,656.95,4736598
